Ticker and DTW Values Below 50
"MMM: MMM, FE, MO, CPB, DD, IP, C, MTB"
"AOS: AOS, SBUX, CFG, CINF, YUM, LKQ, EXC, BKNG, PFE, ZION, AIZ"
"ABT: ABT, SBAC, J, WM, ITW, IEX, UNP, STE, NSC, APH, AME"
"ABBV: ABBV, RJF, HD, AZO, EXR, ADI, APH, ROK, HCA, MLM, ORCL"
"ACN: ACN, NDAQ, EL, GOOGL, PLD, A, DHR, GOOG, COST, TMO, UNH"
"ADBE: ADBE, INTU, IDXX, LULU, NOW, WST, MSFT, MSCI, POOL, KEYS, TER"
"AMD: AMD, TSLA, ENPH, GNRC, PAYC, NVDA, FTNT, MSCI, MPWR, KLAC, EPAM"
"AES: AES, AME, HLT, AXP, WAT, ITW, CMI, ADP, EXPD, SYK, AON"
"AFL: AFL, WRB, TJX, ADP, HUM, PAYX, HSY, APH, CVX, DRI, MMC"
"A: A, ACN, PLD, MTD, NDAQ, GRMN, TMO, DHR, GOOGL, SPGI, GOOG"
"APD: APD, ARE, CCI, YUM, WMT, ICE, HON, ROP, XEL, WEC, EXPD"
"AKAM: AKAM, DVA, SEE"
ALK: ALK
"ALB: ALB, URI, AMAT, CRL, LULU, AXON, EPAM, AAPL, CPRT, KLAC, NUE"
"ARE: ARE, YUM, ICE, COO, EXPD, AEE, CSCO, ROP, JBHT, UNP, APD"
"ALGN: ALGN, CZR, IDXX, LRCX, NOW, TER"
"ALLE: ALLE, LNT, ROST, WTW, XEL, AEE, HON, ALL, SYY, FI, DGX"
"LNT: LNT, CMS, AEE, WEC, WTW, XEL, BRK-B, DTE, ALLE, EVRG, AEP"
"ALL: ALL, DTE, HON, CMCSA, ARE, EMR, LNT, WTW, ALLE, CHD, PEG"
"GOOGL: GOOGL, GOOG, ACN, DHR, NDAQ, BRO, A, TMO, SPGI, PLD, AVY"
"GOOG: GOOG, GOOGL, ACN, DHR, NDAQ, SPGI, TMO, A, BRO, PLD, MTD"
"MO: MO, CPB, MMM, DD, K, CTSH, PPL, REG"
"AMZN: AMZN, MSCI, INTU, EPAM, ISRG, KEYS, POOL, WST, MSFT, ADBE, LRCX"
"AMCR: AMCR, L, HSIC, KMB, BK, PRU, D, RTX, PM, SJM, CHRW"
"AEE: AEE, XEL, ATO, LNT, ROP, ARE, CCI, CMS, WEC, MKC, ICE"
AAL: AAL
"AEP: AEP, CMS, ETR, LNT, ATO, PEG, DTE, EVRG, ED, GL, MDLZ"
"AXP: AXP, UNP, HLT, EXC, TEL, NSC, AES, CPT, AME, CE, ZION"
"AIG: AIG, KIM"
"AMT: AMT, SBAC, VRSK, EQIX, AWK, V, FAST, DG, CCI, ABT, EXR"
"AWK: AWK, NEE, EQIX, V, SHW, MCO, STE, WM, FAST, LOW, TMUS"
"AMP: AMP, MS, TSCO, LOW, PH, STX, RJF, SHW, ORCL, ADI, FAST"
"AME: AME, APH, PAYX, HLT, MLM, CPT, EXPD, UNP, FDS, VRSK, TROW"
"AMGN: AMGN, AEP, NI, MNST, CB, SRE, PEG, ED, SO, PFE, CHRW"
"APH: APH, ROK, PAYX, ADP, AME, ITW, WAT, RJF, TROW, AON, ADI"
"ADI: ADI, IQV, AON, MMC, HD, SHW, APH, TMUS, DOV, PAYX, ADP"
"ANSS: ANSS, CHTR, NDAQ, MCO, NEE, MA, A, TMUS, CSGP, ACN, TYL"
"AON: AON, WM, PAYX, ADP, ADI, WRB, DOV, IQV, SHW, APH, STE"
APA: APA
"AAPL: AAPL, WST, INTU, POOL, BX, MSFT, KEYS, AMAT, CRL, ZBRA, ODFL"
"AMAT: AMAT, LRCX, FTNT, POOL, ZBRA, NOW, AAPL, MPWR, PODD, MSCI, IDXX"
"APTV: APTV, TEL, JBHT, NXPI, GS, BLK, JCI, COF, LH, SWKS, SCHW"
"ACGL: ACGL, HUBB, GWW, ORLY, MPC, PHM, AZO"
"ADM: ADM, PCAR, SRE, MRK, IRM, COP, COR, WMT, LEN, EXC, GPC"
"ANET: ANET, SNPS, AVGO, KLAC, CDNS, CPRT, AXON, ODFL, FICO, FTNT, PWR"
"AJG: AJG, PGR, ETN, PANW, AVGO, MSI, CTAS, TDG, PWR, SNPS, KLAC"
"AIZ: AIZ, MCD, SYK, WM, ADP, CINF, ITW, AON, PAYX, WRB, VMC"
"T: T, K, PNW, PPL, D"
