Ticker and Top 10 Smallest DTW Values
"MMM: IFF (64.59623699999999), LUV (64.86370299999994), C (66.637784), SEE (67.8945220000002), USB (69.87554999999999), D (72.63510799999996), IP (75.76776599999985), HAS (81.93592299999982), MDT (83.92115999999997), DIS (85.9885260000003)"
"AOS: SBUX (39.81707999999996), AIZ (43.32382099999994), CINF (48.79788099999999), EXC (49.56519399999986), MAS (51.22717699999991), JPM (52.10531199999992), TJX (53.18578200000013), PKG (53.63865300000023), BKNG (54.53718600000011), CI (54.793023)"
"ABT: NSC (33.994287999999926), UNP (34.138253000000006), DOV (36.30032300000002), AWK (36.423186999999984), HD (38.23912500000001), HSY (39.61781500000003), IQV (40.78362599999987), AMT (43.16899799999989), JKHY (43.32573699999999), LOW (43.72608899999993)"
"ABBV: RJF (37.85430399999999), J (38.59876100000006), AZO (38.60374899999986), ACGL (39.02166200000005), PAYX (40.22296699999997), TMUS (41.34018000000001), ADI (41.87425299999998), ORLY (43.655786), APH (43.835602999999935), ORCL (44.88074200000004)"
"ACN: ZTS (30.353964000000012), PLD (30.85167800000004), GOOGL (31.12027299999996), DHR (31.47874199999998), GOOG (32.12633), SHW (32.990211000000016), SPGI (33.015229999999995), NDAQ (34.299897000000044), A (34.98917699999997), HD (35.273334999999946)"
"ADBE: WST (35.35802699999998), NOW (36.19723099999997), INTU (36.846594000000096), AMZN (43.05732699999999), LRCX (43.700227000000034), IDXX (44.88752), MSFT (45.042324), LULU (45.810493999999935), ISRG (47.87894399999995), AMAT (48.39169899999992)"
"AMD: TSLA (46.24992299999993), PAYC (71.72827499999993), IDXX (72.9053279999999), KLAC (74.4958460000001), ENPH (77.829149), NVDA (79.23342800000006), MSCI (80.54057299999981), AMZN (81.9729179999997), NFLX (82.35333899999996), ANET (84.82417000000007)"
"AES: PNC (45.70333999999993), AXP (48.22811499999994), WAT (49.29973199999999), CPT (49.42749099999999), GEN (50.31860200000009), SCHW (52.230082999999865), FITB (52.845355999999946), CBRE (53.08612400000006), TEL (53.300926), ABT (53.991204)"
"AFL: APH (29.60853000000005), TJX (31.919666999999937), AME (33.10465800000008), ITW (35.97852399999996), LMT (38.23728299999999), HUM (40.63614400000007), HLT (40.70458700000004), ROP (40.90558599999993), AON (41.13082500000007), FAST (42.95179999999991)"
"A: MTD (24.18019099999999), NDAQ (32.21529399999994), PLD (32.65767099999996), TMO (33.782633000000025), DHR (34.636649999999904), ACN (34.98917699999997), SHW (36.9074319999999), ZTS (37.570927), AWK (37.744989999999966), SPGI (39.14996099999997)"
"APD: CHD (38.94417799999991), YUM (39.33567399999996), WMT (39.39430499999998), ATO (40.36879200000001), ROP (41.81837400000003), CSCO (43.314385000000016), ICE (43.35381899999994), FI (44.097128999999846), AME (44.41412100000005), HON (44.635375999999866)"
"AKAM: BG (56.46575500000005), DVA (62.95051899999993), PPG (69.80450700000009), NWSA (71.07316100000016), MET (72.67555299999984), NWS (73.1127259999999), PNR (73.41853500000015), ECL (77.31710699999958), GIS (80.61054399999998), WY (80.61523000000021)"
"ALK: INCY (65.26187499999988), MHK (82.04288100000004), IFF (106.2447820000001), MMM (109.65602400000006), TAP (114.2180829999998), IVZ (114.823309), BBWI (117.92743200000022), WBA (120.6139399999998), HAS (121.03353300000016), UAL (122.44228399999976)"
"ALB: EW (59.40628799999989), CRL (61.46773000000011), TER (64.53814300000008), KEYS (65.30156499999991), IDXX (69.92259899999993), TECH (70.04968900000009), BIO (70.31528199999998), CTLT (71.66424200000009), ZBRA (72.01633200000008), POOL (72.65713799999999)"
"ARE: CCI (36.29933399999995), BALL (39.12562100000002), SBAC (44.062825999999845), CPT (46.04409700000002), BAX (46.362996), TROW (50.307794), EBAY (51.08825399999992), WAT (51.4922199999999), NKE (51.818834), CLX (52.410340999999946)"
