Ticker and Top 10 Smallest DTW Values
"MMM: FE (39.123743000000005), MO (39.59057899999998), CPB (45.47594800000001), DD (46.144327), IP (49.03760599999984), C (49.56037100000007), MTB (49.89352700000007), PNW (50.081526), LVS (50.14654700000003), CTSH (50.20816500000011)"
"AOS: SBUX (33.40436399999995), CFG (35.00726900000004), CINF (35.057090000000066), YUM (37.52912200000007), LKQ (37.57817500000002), EXC (38.17828800000001), BKNG (38.33886900000003), PFE (38.654831000000016), ZION (39.85286800000001), AIZ (40.493805000000144)"
"ABT: SBAC (23.394091), J (23.54088199999997), WM (24.15424599999998), ITW (24.37966499999996), IEX (24.61565800000001), UNP (24.715922), STE (24.906606999999912), NSC (25.02214900000001), APH (25.101817999999987), AME (26.161816000000048)"
"ABBV: RJF (25.582646999999977), HD (27.369948999999973), AZO (28.42360799999997), EXR (28.53379299999999), ADI (30.270979999999955), APH (30.99310600000002), ROK (31.196841000000006), HCA (31.75949400000001), MLM (32.48167100000005), ORCL (32.79581999999998)"
"ACN: NDAQ (15.149450000000002), EL (15.736022999999983), GOOGL (16.166474999999974), PLD (16.321623000000013), A (16.588053999999982), DHR (16.742391999999978), GOOG (16.758684000000013), COST (16.996154), TMO (17.24991400000002), UNH (17.743169000000023)"
"ADBE: INTU (22.816566000000005), IDXX (23.050392), LULU (23.21241599999995), NOW (24.187403000000003), WST (24.23180500000002), MSFT (24.332614999999976), MSCI (24.367563000000004), POOL (24.58581100000001), KEYS (26.925508000000026), TER (27.19669899999997)"
"AMD: TSLA (29.37150199999996), ENPH (35.57431299999998), GNRC (41.08648799999992), PAYC (43.23341199999998), NVDA (45.38625200000004), FTNT (46.40473400000003), MSCI (47.18565599999998), MPWR (48.10686399999987), KLAC (49.81360800000006), EPAM (49.893765000000045)"
"AES: AME (26.13289399999997), HLT (26.68765099999999), AXP (27.96904499999999), WAT (28.08062000000001), ITW (30.007446999999985), CMI (31.36107799999992), ADP (32.090275000000034), EXPD (32.86062600000005), SYK (32.89194399999994), AON (32.97803299999996)"
"AFL: WRB (24.97550900000001), TJX (27.584929999999957), ADP (28.03612000000001), HUM (29.601371000000025), PAYX (30.79488500000004), HSY (31.803807000000003), APH (32.114361), CVX (33.11423899999994), DRI (33.416982999999995), MMC (34.71929400000004)"
"A: ACN (16.588053999999982), PLD (18.28660799999999), MTD (18.73693700000004), NDAQ (19.005713000000007), GRMN (19.912474000000003), TMO (20.548687000000008), DHR (20.853841000000006), GOOGL (21.480246000000005), SPGI (21.71423499999993), GOOG (22.237602999999957)"
"APD: ARE (27.23872999999997), CCI (27.765728999999983), YUM (28.73202899999996), WMT (28.967967000000005), ICE (30.00006999999999), HON (30.436877000000024), ROP (31.06577799999996), XEL (31.24974500000001), WEC (31.930937999999937), EXPD (32.51127599999994)"
"AKAM: DVA (42.78112999999996), SEE (46.9908189999999), PPG (53.13895500000001), WHR (53.80528700000018), DUK (58.49903500000025), ES (59.63807600000008), NWSA (59.74431599999996), EMN (59.74822099999996), NWS (60.03705299999989), PNR (60.78987900000003)"
"ALK: MHK (66.39641099999983), INCY (69.42788699999993), DD (73.38044200000007), TAP (77.502755), HAL (79.19085799999992), BKR (82.40847699999996), AIG (83.24890299999993), OXY (91.36286600000042), MO (95.72125799999986), IBM (95.91749199999984)"
"ALB: URI (26.52329599999996), AMAT (41.00319799999994), CRL (42.10640200000002), LULU (42.99372700000005), AXON (43.58031600000001), EPAM (44.78039400000006), AAPL (45.15427399999995), CPRT (45.216075), KLAC (45.44255500000001), NUE (45.73465500000004)"
"ARE: YUM (19.35205900000001), ICE (23.406955999999973), COO (24.07681899999997), EXPD (24.392371999999973), AEE (26.10420499999992), CSCO (26.189657000000032), ROP (26.304813999999965), JBHT (26.97816699999996), UNP (27.186043999999978), APD (27.23872999999997)"
"ALGN: CZR (37.43654100000004), IDXX (41.934332000000005), LRCX (44.10559299999996), NOW (48.67888300000002), TER (49.66347599999991), INTU (51.07275000000008), FTNT (51.573148), POOL (51.69194700000011), ADBE (51.841980999999954), GNRC (52.56987200000004)"
"ALLE: LNT (27.39090799999997), ROST (28.93989199999999), WTW (29.216842000000025), XEL (30.439019), AEE (31.03496499999992), HON (32.29897699999999), ALL (33.06446299999999), SYY (33.07586500000002), FI (33.60938199999993), DGX (34.32817199999995)"
"LNT: CMS (17.622229000000015), AEE (24.902014999999917), WEC (25.677279000000016), WTW (26.34732699999996), XEL (26.467450000000053), BRK-B (26.870186999999973), DTE (27.363923999999976), ALLE (27.39090799999997), EVRG (27.57449700000002), AEP (27.812145999999977)"
"ALL: DTE (25.453148000000077), HON (25.81329800000005), CMCSA (28.67331799999993), ARE (31.340496000000087), EMR (31.519273999999992), LNT (31.56946899999996), WTW (31.80384999999995), ALLE (33.06446299999999), CHD (34.42606499999999), PEG (34.771260000000005)"
"GOOGL: GOOG (6.462540999999994), ACN (16.166474999999974), DHR (18.887184000000023), NDAQ (19.207365999999983), BRO (21.327959), A (21.480246000000005), TMO (21.597367), SPGI (22.027695999999995), PLD (22.658013), AVY (23.767888000000013)"
"GOOG: GOOGL (6.462540999999994), ACN (16.758684000000013), DHR (19.276099), NDAQ (20.003350999999988), SPGI (21.26259899999997), TMO (21.832090000000004), A (22.237602999999957), BRO (22.333877), PLD (22.37445700000005), MTD (23.469247000000006)"
