Ticker,Sector
MMM,industrial conglomerates
AOS,building products
ABT,health care equipment
ABBV,biotechnology
ACN,it consulting & other services
ADBE,application software
AMD,semiconductors
AES,independent power producers & energy traders
AFL,life & health insurance
A,life sciences tools & services
APD,industrial gases
ABNB,"hotels, resorts & cruise lines"
AKAM,internet services & infrastructure
ALK,passenger airlines
ALB,specialty chemicals
ARE,office reits
ALGN,health care supplies
ALLE,building products
LNT,electric utilities
ALL,property & casualty insurance
GOOGL,interactive media & services
GOOG,interactive media & services
MO,tobacco
AMZN,broadline retail
AMCR,paper & plastic packaging products & materials
AEE,multi-utilities
AAL,passenger airlines
AEP,electric utilities
AXP,consumer finance
AIG,multi-line insurance
AMT,telecom tower reits
AWK,water utilities
AMP,asset management & custody banks
AME,electrical components & equipment
AMGN,biotechnology
APH,electronic components
ADI,semiconductors
ANSS,application software
AON,insurance brokers
APA,oil & gas exploration & production
AAPL,"technology hardware, storage & peripherals"
AMAT,semiconductor materials & equipment
APTV,automotive parts & equipment
ACGL,property & casualty insurance
ADM,agricultural products & services
ANET,communications equipment
AJG,insurance brokers
AIZ,multi-line insurance
T,integrated telecommunication services
ATO,gas utilities
ADSK,application software
ADP,human resource & employment services
AZO,automotive retail
AVB,multi-family residential reits
AVY,paper & plastic packaging products & materials
AXON,aerospace & defense
BKR,oil & gas equipment & services
BALL,"metal, glass & plastic containers"
BAC,diversified banks
BK,asset management & custody banks
BBWI,other specialty retail
BAX,health care equipment
BDX,health care equipment
BRK.B,multi-sector holdings
BBY,computer & electronics retail
BIO,life sciences tools & services
TECH,life sciences tools & services
BIIB,biotechnology
BLK,asset management & custody banks
BX,asset management & custody banks
BA,aerospace & defense
BKNG,"hotels, resorts & cruise lines"
BWA,automotive parts & equipment
BXP,office reits
BSX,health care equipment
BMY,pharmaceuticals
AVGO,semiconductors
BR,data processing & outsourced services
BRO,insurance brokers
BF.B,distillers & vintners
BG,agricultural products & services
CDNS,application software
CZR,casinos & gaming
CPT,multi-family residential reits
