GICS Sub-Industry,Tickers
Advertising,"['IPG', 'OMC']"
Aerospace & Defense,"['AXON', 'BA', 'GD', 'HII', 'LHX', 'LMT', 'NOC', 'RTX', 'TXT', 'TDG']"
Agricultural & Farm Machinery,['DE']
Agricultural Products & Services,"['ADM', 'BG']"
Air Freight & Logistics,"['CHRW', 'EXPD', 'FDX', 'UPS']"
Apparel Retail,"['ROST', 'TJX']"
"Apparel, Accessories & Luxury Goods","['LULU', 'NKE', 'RL', 'TPR', 'VFC']"
Application Software,"['ADBE', 'ANSS', 'ADSK', 'CDNS', 'FICO', 'INTU', 'ORCL', 'PTC', 'CRM', 'SNPS', 'TYL']"
Asset Management & Custody Banks,"['AMP', 'BK', 'BLK', 'BX', 'BEN', 'IVZ', 'NTRS', 'STT', 'TROW']"
Automobile Manufacturers,"['F', 'GM', 'TSLA']"
Automotive Parts & Equipment,"['APTV', 'BWA']"
Automotive Retail,"['AZO', 'KMX', 'ORLY']"
Biotechnology,"['ABBV', 'AMGN', 'BIIB', 'GILD', 'INCY', 'REGN', 'VRTX']"
Brewers,['TAP']
Broadcasting,['WBD']
Broadline Retail,"['AMZN', 'EBAY']"
Building Products,"['AOS', 'ALLE', 'JCI', 'MAS', 'TT']"
Cable & Satellite,"['CHTR', 'CMCSA']"
Cargo Ground Transportation,"['JBHT', 'ODFL']"
Casinos & Gaming,"['CZR', 'LVS', 'MGM', 'WYNN']"
Communications Equipment,"['ANET', 'CSCO', 'FFIV', 'JNPR', 'MSI']"
Computer & Electronics Retail,['BBY']
Construction & Engineering,"['J', 'PWR']"
Construction Machinery & Heavy Transportation Equipment,"['CAT', 'CMI', 'PCAR', 'WAB']"
Construction Materials,"['MLM', 'VMC']"
Consumer Electronics,['GRMN']
Consumer Finance,"['AXP', 'COF', 'DFS', 'SYF']"
Consumer Staples Merchandise Retail,"['COST', 'DG', 'DLTR', 'TGT', 'WMT']"
Copper,['FCX']
Data Center REITs,"['DLR', 'EQIX']"
Data Processing & Outsourced Services,['BR']
Distillers & Vintners,"['BF-B', 'STZ']"
Distributors,"['GPC', 'LKQ', 'POOL']"
Diversified Banks,"['BAC', 'C', 'CMA', 'FITB', 'JPM', 'USB', 'WFC']"
Diversified Support Services,"['CTAS', 'CPRT', 'LDOS']"
Drug Retail,['WBA']
Electric Utilities,"['LNT', 'AEP', 'DUK', 'EIX', 'ETR', 'EVRG', 'ES', 'EXC', 'FE', 'PPL', 'PEG', 'SO', 'WEC']"
Electrical Components & Equipment,"['AME', 'ETN', 'EMR', 'GNRC', 'ROK']"
Electronic Components,"['APH', 'GLW']"
Electronic Equipment & Instruments,"['KEYS', 'ROP', 'TDY', 'TRMB', 'ZBRA']"
Electronic Manufacturing Services,['TEL']
Environmental & Facilities Services,"['RSG', 'ROL', 'WM']"
Fertilizers & Agricultural Chemicals,"['CF', 'FMC', 'MOS']"
